Quelle est la capitale de la France ?,Paris,Londres,Madrid,Lisbonne
Combien font 6x8 ?,48,59,84,68
Conjugue manger à la troisième personne du présent ?,Il mange,Il manges,Il mangea,Il a mangé
Combien font 5 + 3 ?,8,7,9,10
Combien de mois y a-t-il dans une année ?,12,10,11,13
Quel est le fruit jaune ?,Banane,Pomme,Poire,Orange
Quel est l'animal qui miaule ?,Chat,Chien,Oiseau,Cheval
De quelle couleur est l'herbe ?,Verte,Rouge,Jaune,Bleue
Combien de côtés a un carré ?,4,3,5,6
Qui a écrit "Le Petit Prince" ?,Antoine de Saint-Exupéry,Jules Verne,Victor Hugo,Emile Zola
Quel est l'organe utilisé pour entendre ?,Oreilles,Yeux,Bouche,Nez
Quel est l'instrument de musique avec des touches ?,Piano,Guitare,Violon,Batterie
Dans quel pays se trouve la Tour Eiffel ?,France,Italie,Espagne,Allemagne
Combien de jours dans une semaine ?,7,6,5,4
Comment s'appelle le roi des animaux ?,Lion,Chat,Chien,Eléphant
Quel est l'élément chimique de symbole O ?,Oxygène,Azote,Carbone,Hydrogène
Comment s'appelle la planète sur laquelle nous vivons ?,Terre,Mars,Vénus,Saturne
Quel est l'instrument qui sert à mesurer le temps ?,Montre,Calendrier,Horloge,Minuteur
Quel est le nom de l'île qui a été découverte par Christophe Colomb ?,Amérique,Inde,Australie,Asie
Quel est l'élément chimique de symbole H ?,Hydrogène,Oxygène,Azote,Plomb
Combien de doigts a une main ?,5,4,6,7
Qui est le président de la République en France en 2021 ?,Emmanuel Macron,François Hollande,Jacques Chirac,Charles de Gaulle
Quel est l'animal qui a des plumes ?,Oiseau,Chien,Chat,Cochon
Quel est le nom du célèbre détective créé par Arthur Conan Doyle ?,Sherlock Holmes,Hercule Poirot,Miss Marple,Sam Spade
Combien de couleurs dans un arc-en-ciel ?,7,5,6,8
Quel est le plus grand océan ?,Océan Pacifique,Océan Atlantique,Océan Indien,Océan Arctique
Quel est le nom du célèbre personnage de Disney avec des oreilles rondes ?,Mickey Mouse,Donald Duck,Goofy,Pluto
Dans quel pays se trouve le Pyramide de Gizeh ?,Égypte,Grèce,Italie,Espagne
Quel est le plus petit mammifère du monde ?,Musaraigne,Éléphant,Baleine,Hippopotame
Quel est le contraire de "grand" ?,Petit,Gros,Fort,Jeune
Quel est le premier mois de l'année ?,Janvier,Février,Mars,Avril
Quel est l'élément chimique de symbole Na ?,Sodium,Argon,Plomb,Carbone
Dans quel sport utilise-t-on une raquette ?,Tennis,Football,Boxe,Basketball
Qui a inventé l'ampoule ?,Thomas Edison,Albert Einstein,Nikola Tesla,Leonardo da Vinci
Quel est le pays où se trouve le Colisée ?,Italie,Espagne,Grèce,Allemagne
Comment s'appelle le livre de la Bible qui parle de la création ?,Genèse,Exode,Levitique,Nombres
De quelle couleur est un citron ?,Jaune,Vert,Orange,Rouge
Quel est l'animal qui a une trompe ?,Éléphant,Chien,Chat,Ours
Combien de joueurs y a-t-il dans une équipe de football ?,11,12,9,10
Quel est l'organe qui permet de respirer ?,Poumon,Cœur,Estomac,Rein
Quel est l'instrument de musique avec des touches noires et blanches ?,Piano,Guitare,Flûte,Violon
Quel est le plus grand pays du monde ?,Russie,États-Unis,Chine,Brésil
Quel est l'instrument de musique à vent ?,Flûte,Violoncelle,Guitare,Clavier
