Dans un triangle rectangle si les deux côtés mesurent 6 et 8 que vaut l’hypoténuse ?,10,12,14,8
Un carré a un côté de 5. Quelle est la longueur de sa diagonale ?,5√2,10,25,7
Un triangle a pour côtés 724 et 25. Quelle est sa nature ?,Rectangle,Isocèle,Équilatéral,Quelconque
Un point A est à 9 unités horizontalement et 12 verticalement de l’origine. Quelle est sa distance à l’origine ?,15,21,3,12
Dans un triangle rectangle isocèle que peut-on dire des deux côtés de l’angle droit ?,Ils sont égaux,Ils sont différents,Ils sont proportionnels,Ils sont perpendiculaires
Quel temps est utilisé dans « Il eut terminé » ?,Passé antérieur,Plus-que-parfait,Imparfait,Conditionnel
Quelle forme est correcte ?,Que je vinsse,Que je vienne,Que je vins,Que je viendrais
Quel est le participe passé correct ?,Ils se sont téléphoné,Ils se sont téléphonés,Ils se sont téléphonée,Ils se sont téléphoner
Quel mot est un adverbe ?,Rapidement,Rapide,Rapidité,Rapider
Quel est le pluriel correct ?,Des genoux,Des genous,Des genouxs,Des genou
Quelle est la capitale de la Hongrie ?,Budapest,Vienne,Prague,Bucarest
Quel fleuve traverse Londres ?,La Tamise,La Seine,Le Rhin,Le Danube
Quel pays est entièrement entouré par l’Afrique du Sud ?,Lesotho,Namibie,Botswana,Zimbabwe
Quelle mer borde l’Italie ?,Mer Méditerranée,Mer Noire,Mer Rouge,Mer Baltique
Quelle est la capitale du Maroc ?,Rabat,Casablanca,Marrakech,Fès
Quelle est la fonction principale des poumons ?,Respirer,Digérer,Filtrer le sang,Produire des hormones
Quel organe produit l’insuline ?,Pancréas,Foie,Rein,Estomac
Quelle cellule transporte l’oxygène ?,Globule rouge,Globule blanc,Plaquette,Neurone
Quel est le rôle de l’ADN ?,Porter l’information génétique,Produire de l’énergie,Digérer les nutriments,Respirer
Quel système permet la digestion ?,Système digestif,Système nerveux,Système respiratoire,Système musculaire
Quelle est l’unité de la tension électrique ?,Volt,Ampère,Ohm,Watt
Quel appareil mesure l’intensité ?,Ampèremètre,Voltmètre,Ohmmètre,Baromètre
Quelle énergie permet une ampoule de s’allumer ?,Électrique,Thermique,Chimique,Nucléaire
Quelle est la source d’énergie principale du Soleil ?,Fusion nucléaire,Combustion,Électricité,Fission
Quelle force attire les objets vers la Terre ?,Gravitation,Électricité,Magnetisme,Pression
Combien de joueurs sur le terrain en football ?,11,10,9,7
Combien de points vaut un lancer franc au basket ?,1,2,3,0
Quel sport se joue avec une raquette et un volant ?,Badminton,Tennis,Squash,Baseball
Quelle durée a un match de handball ?,60 minutes,90 minutes,45 minutes,80 minutes
Quel pays a remporté la Coupe du monde 1998 ?,France,Brésil,Italie,Allemagne
Qui a écrit « Les Misérables » ?,Victor Hugo,Zola,Balzac,Molière
En quelle année a débuté la Révolution française ?,1789,1799,1776,1815
Quel est le siècle de l’an 1900 ?,XIXe,XXe,XVIIIe,XXIe
Qui a peint la Joconde ?,Léonard de Vinci,Michel-Ange,Raphaël,Picasso
Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Voltmètre,Hygromètre
Quel est le pluriel correct ?,Des chevaux,Des chevals,Des cheval,Des chevaus
Quel est le contraire de « fragile » ?,Solide,Cassant,Faible,Fin
Quel mot est un verbe ?,Courir,Course,Coureur,Courant
Quel continent est le plus vaste ?,Asie,Afrique,Amérique,Europe
Quelle planète est surnommée la planète rouge ?,Mars,Jupiter,Vénus,Saturne
Quel gaz est indispensable à la respiration ?,Oxygène,Azote,CO₂,Hélium
Quelle est la capitale du Canada ?,Ottawa,Toronto,Montréal,Vancouver
Quel pays a pour capitale Helsinki ?,Finlande,Norvège,Suède,Danemark
Quel os protège le cerveau ?,Crâne,Fémur,Colonne vertébrale,Bassin
Quelle est la langue officielle du Brésil ?,Portugais,Espagnol,Français,Anglais
Quel est le symbole chimique du carbone ?,C,Ca,Co,Cr
Quel organe permet la circulation du sang ?,Cœur,Poumons,Reins,Foie
Quel sport est associé à Roland-Garros ?,Tennis,Football,Rugby,Basket
Quelle est la monnaie du Royaume-Uni ?,Livre sterling,Euro,Dollar,Yen
Quelle figure géométrique a quatre côtés égaux ?,Carré,Rectangle,Trapèze,Triangle
Quelle mer borde Israël ?,Mer Méditerranée,Mer Rouge,Mer Noire,Mer Caspienne
Quelle est la planète la plus proche du Soleil ?,Mercure,Vénus,Mars,Jupiter
Quel est le record du monde du 100 m ?,9;58 s,9;72 s,9;85 s,10 s
Quel est l’auteur de « Le Petit Prince » ?,Saint-Exupéry,Verne,Hugo,Camus
Dans un triangle rectangle si un côté mesure 5 et l’autre 12 que vaut l’hypoténuse ?,13,17,7,10
Un rectangle a une longueur de 8 et une largeur de 6. Quelle est la longueur de sa diagonale ?,10,14,48,7
Un triangle a pour côtés 6 8 et 10. Quelle est sa nature ?,Rectangle,Isocèle,Équilatéral,Quelconque
Quelle figure possède quatre angles droits ?,Rectangle,Losange,Trapèze,Parallélogramme
Quel temps est utilisé dans « Nous eûmes fini » ?,Passé antérieur,Plus-que-parfait,Imparfait,Conditionnel
Quelle forme est correcte ?,Que nous allions,Que nous allâmes,Que nous irons,Que nous irions
Quel est le participe passé correct ?,Elles se sont rendu compte,Elles se sont rendues compte,Elles se sont rendue compte,Elles se sont rendre compte
Quel mot est un adjectif ?,Heureux,Heureusement,Bonheur,Heure
Quel est le féminin de « acteur » ?,Actrice,Acteuse,Acteurice,Acteure
Quelle est la capitale du Portugal ?,Lisbonne,Porto,Faro,Braga
Quel pays est traversé par le Danube ?,Autriche,Espagne,Portugal,Islande
Quel désert est le plus vaste ?,Sahara,Gobi,Kalahari,Atacama
